Wall time,Step,Value
1554855988.90257,1,0.32942894101142883
1554856152.813774,2,0.09417413920164108
1554856316.2122014,3,0.07316426932811737
1554856478.7940297,4,0.045501310378313065
1554856640.275735,5,0.05125381052494049
1554856803.210911,6,0.04467035457491875
1554856965.950066,7,0.027408501133322716
1554857128.420964,8,0.021321266889572144
1554857289.8540494,9,0.019160063937306404
1554857450.8194857,10,0.016146278008818626
1554857613.9512331,11,0.01676061749458313
1554857776.895692,12,0.014278413727879524
1554857940.9312537,13,0.012272139079868793
1554858104.8818624,14,0.012187844142317772
1554858266.8159196,15,0.010626870207488537
1554858428.833014,16,0.009924584999680519
1554858592.049143,17,0.009648829698562622
1554858753.8023555,18,0.006504225078970194
1554858916.7289498,19,0.01095823384821415
1554859079.6365244,20,0.008358477614820004
1554859240.699561,21,0.009649151936173439
1554859401.9355159,22,0.007995111867785454
1554859563.7843385,23,0.00745663745328784
1554859725.5550377,24,0.00798807479441166
1554859887.0702775,25,0.010584535077214241
1554860049.8289585,26,0.007114083971828222
1554860212.0336752,27,0.008553540334105492
1554860373.7009842,28,0.008108063600957394
1554860536.273439,29,0.008100328966975212
1554860698.1715143,30,0.008841353468596935
1554860859.9367168,31,0.008676968514919281
1554861021.407085,32,0.007026150356978178
1554861182.9417272,33,0.00904942024499178
1554861344.151839,34,0.007561056409031153
1554861505.886711,35,0.008119271136820316
1554861666.658889,36,0.007122754584997892
1554861828.510034,37,0.007197693455964327
1554861991.233051,38,0.008274189196527004
1554862153.406111,39,0.011663230136036873
1554862314.5011108,40,0.00784312840551138
1554862476.770202,41,0.008210071362555027
1554862638.701182,42,0.008313847705721855
1554862800.580651,43,0.00788183230906725
1554862963.1404476,44,0.011384503915905952
1554863122.3379707,45,0.011726497672498226
1554863283.3268938,46,0.011902067810297012
1554863446.4766667,47,0.009878935292363167
1554863607.7191546,48,0.010516607202589512
1554863768.6471539,49,0.008148808032274246
1554863930.0867999,50,0.008672502823174
1554864091.386695,51,0.007113062310963869
1554864252.0517378,52,0.009027228690683842
1554864414.1660943,53,0.005988762713968754
1554864575.4831586,54,0.010132518596947193
1554864737.2988,55,0.010944993235170841
1554864899.2986577,56,0.00783577747642994
1554865060.5613391,57,0.007613211404532194
1554865221.803948,58,0.008072271943092346
1554865384.1885307,59,0.008723330684006214
1554865547.0154572,60,0.006468520034104586
1554865710.1819947,61,0.009058183059096336
1554865870.3684032,62,0.008701776154339314
1554866032.201872,63,0.008092271164059639
1554866193.287501,64,0.00781509280204773
1554866353.5498447,65,0.01219317689538002
1554866515.3133748,66,0.007899601012468338
1554866676.8541858,67,0.009221825748682022
1554866837.2487233,68,0.008172917179763317
1554866997.6959684,69,0.010236205533146858
1554867158.802332,70,0.007446241099387407
1554867318.742621,71,0.009195748716592789
1554867481.4911063,72,0.008049389347434044
1554867643.4848068,73,0.008037243969738483
1554867803.7814555,74,0.00873001478612423
1554867964.9960814,75,0.007830514572560787
1554868127.0509787,76,0.008449187502264977
1554868289.8905787,77,0.010443567298352718
1554868451.5119452,78,0.007287298329174519
1554868614.3632028,79,0.008047106675803661
1554868776.3331523,80,0.008561834692955017
1554868939.6160588,81,0.00840040948241949
1554869099.2251816,82,0.009670105762779713
1554869259.2699232,83,0.008594121783971786
1554869418.217802,84,0.008868908509612083
1554869579.4313679,85,0.009490966796875
1554869739.4999278,86,0.009112432599067688
1554869898.0011013,87,0.009586232714354992
1554870055.3604746,88,0.007527476642280817
1554870214.0103147,89,0.009303350001573563
1554870371.8700397,90,0.009713640436530113
1554870529.932507,91,0.008337519131600857
1554870688.5512037,92,0.010654821060597897
1554870847.87729,93,0.011033453047275543
1554871006.9098265,94,0.007076865527778864
1554871167.93676,95,0.006896421313285828
1554871327.390534,96,0.0065132672898471355
1554871486.7098446,97,0.008791284635663033
1554871645.4357252,98,0.006078333128243685
1554871804.7345574,99,0.009679770097136497
1554871963.372005,100,0.010344572365283966
